#gene	source(s)
LCE1D	https://dx.doi.org/10.1002/humu.22033
LCE1E	https://dx.doi.org/10.1002/humu.22033
LEFTY1	https://dx.doi.org/10.1002/humu.22033
LEFTY2	https://dx.doi.org/10.1002/humu.22033
LGALS7	https://dx.doi.org/10.1002/humu.22033
LGALS7B	https://dx.doi.org/10.1002/humu.22033
LGALS9	https://dx.doi.org/10.1002/humu.22033
LGALS9B	https://dx.doi.org/10.1002/humu.22033
LGALS9C	https://dx.doi.org/10.1002/humu.22033
LILRA6	https://dx.doi.org/10.1002/humu.22033
LILRB1	https://dx.doi.org/10.1002/humu.22033
LILRB2	https://dx.doi.org/10.1002/humu.22033
LILRB3	https://dx.doi.org/10.1002/humu.22033
LIMS1	https://dx.doi.org/10.1002/humu.22033
LIMS3	https://dx.doi.org/10.1002/humu.22033
LIMS4	https://dx.doi.org/10.1002/humu.22033
LPA	https://dx.doi.org/10.1002/humu.22033
LRRC37A	https://dx.doi.org/10.1002/humu.22033
LRRC37A2	https://dx.doi.org/10.1002/humu.22033
LRRC37A3	https://dx.doi.org/10.1002/humu.22033
LRRC37B	https://dx.doi.org/10.1002/humu.22033
MAGEA11	https://dx.doi.org/10.1002/humu.22033
MAGEA2	https://dx.doi.org/10.1002/humu.22033
MAGEA2B	https://dx.doi.org/10.1002/humu.22033
MAGEA3	https://dx.doi.org/10.1002/humu.22033
MAGEA6	https://dx.doi.org/10.1002/humu.22033
MAGEA9	https://dx.doi.org/10.1002/humu.22033
MAGEA9B	https://dx.doi.org/10.1002/humu.22033
MAGED4	https://dx.doi.org/10.1002/humu.22033
MAGED4B	https://dx.doi.org/10.1002/humu.22033
MALL	https://dx.doi.org/10.1002/humu.22033
MAPK6	https://dx.doi.org/10.1002/humu.22033
MBD3L2	https://dx.doi.org/10.1002/humu.22033
MBD3L3	https://dx.doi.org/10.1002/humu.22033
MBD3L4	https://dx.doi.org/10.1002/humu.22033
MBD3L5	https://dx.doi.org/10.1002/humu.22033
METTL2A	https://dx.doi.org/10.1002/humu.22033
METTL2B	https://dx.doi.org/10.1002/humu.22033
MGAM	https://dx.doi.org/10.1002/humu.22033
MMP23B	https://dx.doi.org/10.1002/humu.22033
MRC1	https://dx.doi.org/10.1002/humu.22033
MROH1	https://dx.doi.org/10.1002/humu.22033
MRPL45	https://dx.doi.org/10.1002/humu.22033
MST1	https://dx.doi.org/10.1002/humu.22033
MST1L	https://dx.doi.org/10.1002/humu.22033
MSTO1	https://dx.doi.org/10.1002/humu.22033
MTX1	https://dx.doi.org/10.1002/humu.22033
MUC12	https://dx.doi.org/10.1002/humu.22033
MUC16	https://dx.doi.org/10.1002/humu.22033
MUC20	https://dx.doi.org/10.1002/humu.22033
MUC4	https://dx.doi.org/10.1002/humu.22033
MUC5B	https://dx.doi.org/10.1002/humu.22033
MYH6	https://dx.doi.org/10.1002/humu.22033
MYH7	https://dx.doi.org/10.1002/humu.22033
MZT2B	https://dx.doi.org/10.1002/humu.22033
NACAD	https://dx.doi.org/10.1002/humu.22033
NACC2	https://dx.doi.org/10.1002/humu.22033
NAIP	https://dx.doi.org/10.1002/humu.22033
NANOG	https://dx.doi.org/10.1002/humu.22033
NBPF1	https://dx.doi.org/10.1002/humu.22033
NBPF10	https://dx.doi.org/10.1002/humu.22033
NBPF11	https://dx.doi.org/10.1002/humu.22033
NBPF12	https://dx.doi.org/10.1002/humu.22033
NBPF14	https://dx.doi.org/10.1002/humu.22033
NBPF15	https://dx.doi.org/10.1002/humu.22033
NBPF20	https://dx.doi.org/10.1002/humu.22033
NBPF3	https://dx.doi.org/10.1002/humu.22033
NBPF4	https://dx.doi.org/10.1002/humu.22033
NBPF6	https://dx.doi.org/10.1002/humu.22033
NBPF8	https://dx.doi.org/10.1002/humu.22033
NBPF9	https://dx.doi.org/10.1002/humu.22033
NCF1	https://dx.doi.org/10.1002/humu.22033
NEB	https://dx.doi.org/10.1002/humu.22033
NLGN4X	https://dx.doi.org/10.1002/humu.22033
NLGN4Y	https://dx.doi.org/10.1002/humu.22033
NLRP5	https://dx.doi.org/10.1002/humu.22033
NOMO1	https://dx.doi.org/10.1002/humu.22033
NOMO2	https://dx.doi.org/10.1002/humu.22033
NOMO3	https://dx.doi.org/10.1002/humu.22033
NOS2	https://dx.doi.org/10.1002/humu.22033
NOTCH2	https://dx.doi.org/10.1002/humu.22033
NOTCH2NL	https://dx.doi.org/10.1002/humu.22033
NPEPPS	https://dx.doi.org/10.1002/humu.22033
NPIPA1	https://dx.doi.org/10.1002/humu.22033
NPIPA2	https://dx.doi.org/10.1002/humu.22033
NPIPA3	https://dx.doi.org/10.1002/humu.22033
NPIPA5	https://dx.doi.org/10.1002/humu.22033
NPIPA7	https://dx.doi.org/10.1002/humu.22033
NPIPA8	https://dx.doi.org/10.1002/humu.22033
NPIPB3	https://dx.doi.org/10.1002/humu.22033
NPIPB5	https://dx.doi.org/10.1002/humu.22033
NPIPB6	https://dx.doi.org/10.1002/humu.22033
NPIPB9	https://dx.doi.org/10.1002/humu.22033
NRBF2	https://dx.doi.org/10.1002/humu.22033
NSF	https://dx.doi.org/10.1002/humu.22033
NSUN5	https://dx.doi.org/10.1002/humu.22033
NUDT4	https://dx.doi.org/10.1002/humu.22033
NUP50	https://dx.doi.org/10.1002/humu.22033
NUTM2A	https://dx.doi.org/10.1002/humu.22033
NUTM2B	https://dx.doi.org/10.1002/humu.22033
NUTM2F	https://dx.doi.org/10.1002/humu.22033
NUTM2G	https://dx.doi.org/10.1002/humu.22033
NXF2	https://dx.doi.org/10.1002/humu.22033
NXF2B	https://dx.doi.org/10.1002/humu.22033
NXF5	https://dx.doi.org/10.1002/humu.22033
OBP2A	https://dx.doi.org/10.1002/humu.22033
OCLN	https://dx.doi.org/10.1002/humu.22033
OPN1LW	https://dx.doi.org/10.1002/humu.22033
OPN1MW	https://dx.doi.org/10.1002/humu.22033
OPN1MW2	https://dx.doi.org/10.1002/humu.22033
OR10G4	https://dx.doi.org/10.1002/humu.22033
OR10G9	https://dx.doi.org/10.1002/humu.22033
OR11H1	https://dx.doi.org/10.1002/humu.22033
OR11H12	https://dx.doi.org/10.1002/humu.22033
OR11H2	https://dx.doi.org/10.1002/humu.22033
OR13C2	https://dx.doi.org/10.1002/humu.22033
OR13C5	https://dx.doi.org/10.1002/humu.22033
OR1D5	https://dx.doi.org/10.1002/humu.22033
OR1E1	https://dx.doi.org/10.1002/humu.22033
OR1E2	https://dx.doi.org/10.1002/humu.22033
OR2A1	https://dx.doi.org/10.1002/humu.22033
OR2A4	https://dx.doi.org/10.1002/humu.22033
OR2A42	https://dx.doi.org/10.1002/humu.22033
OR2A7	https://dx.doi.org/10.1002/humu.22033
OR2L3	https://dx.doi.org/10.1002/humu.22033
OR2T12	https://dx.doi.org/10.1002/humu.22033
OR2T2	https://dx.doi.org/10.1002/humu.22033
OR2T27	https://dx.doi.org/10.1002/humu.22033
OR2T29	https://dx.doi.org/10.1002/humu.22033
OR2T3	https://dx.doi.org/10.1002/humu.22033
OR2T33	https://dx.doi.org/10.1002/humu.22033
OR2T34	https://dx.doi.org/10.1002/humu.22033
OR2T35	https://dx.doi.org/10.1002/humu.22033
OR2T5	https://dx.doi.org/10.1002/humu.22033
OR3A2	https://dx.doi.org/10.1002/humu.22033
OR3A3	https://dx.doi.org/10.1002/humu.22033
OR4F16	https://dx.doi.org/10.1002/humu.22033
OR4F17	https://dx.doi.org/10.1002/humu.22033
OR4F21	https://dx.doi.org/10.1002/humu.22033
OR4F29	https://dx.doi.org/10.1002/humu.22033
OR4F3	https://dx.doi.org/10.1002/humu.22033
OR4F4	https://dx.doi.org/10.1002/humu.22033
OR4F5	https://dx.doi.org/10.1002/humu.22033
OR4K15	https://dx.doi.org/10.1002/humu.22033
OR4Q3	https://dx.doi.org/10.1002/humu.22033
OR51A2	https://dx.doi.org/10.1002/humu.22033
OR51A4	https://dx.doi.org/10.1002/humu.22033
OR5M1	https://dx.doi.org/10.1002/humu.22033
OR5M10	https://dx.doi.org/10.1002/humu.22033
OR6B2	https://dx.doi.org/10.1002/humu.22033
OR6B3	https://dx.doi.org/10.1002/humu.22033
OR8B2	https://dx.doi.org/10.1002/humu.22033
OR8B3	https://dx.doi.org/10.1002/humu.22033
ORM1	https://dx.doi.org/10.1002/humu.22033
ORM2	https://dx.doi.org/10.1002/humu.22033
OTOA	https://dx.doi.org/10.1002/humu.22033
OTUD7A	https://dx.doi.org/10.1002/humu.22033
OXCT2	https://dx.doi.org/10.1002/humu.22033
PABPC1L2A	https://dx.doi.org/10.1002/humu.22033
PABPC1L2B	https://dx.doi.org/10.1002/humu.22033
PAGE2	https://dx.doi.org/10.1002/humu.22033
PAGE2B	https://dx.doi.org/10.1002/humu.22033
PARG	https://dx.doi.org/10.1002/humu.22033
PARP4	https://dx.doi.org/10.1002/humu.22033
PCDH11X	https://dx.doi.org/10.1002/humu.22033
PCDH11Y	https://dx.doi.org/10.1002/humu.22033
PCDHA6	https://dx.doi.org/10.1002/humu.22033
PCDHA7	https://dx.doi.org/10.1002/humu.22033
PCDHA8	https://dx.doi.org/10.1002/humu.22033
PCDHA9	https://dx.doi.org/10.1002/humu.22033
PCDHB10	https://dx.doi.org/10.1002/humu.22033
PCDHB11	https://dx.doi.org/10.1002/humu.22033
PCDHB12	https://dx.doi.org/10.1002/humu.22033
PCDHB13	https://dx.doi.org/10.1002/humu.22033
PCDHB14	https://dx.doi.org/10.1002/humu.22033
PCDHB15	https://dx.doi.org/10.1002/humu.22033
PCDHB16	https://dx.doi.org/10.1002/humu.22033
PCDHB2	https://dx.doi.org/10.1002/humu.22033
PCDHB3	https://dx.doi.org/10.1002/humu.22033
PCDHB4	https://dx.doi.org/10.1002/humu.22033
PCDHB5	https://dx.doi.org/10.1002/humu.22033
PCDHB6	https://dx.doi.org/10.1002/humu.22033
PCDHB7	https://dx.doi.org/10.1002/humu.22033
PCDHB8	https://dx.doi.org/10.1002/humu.22033
PCDHB9	https://dx.doi.org/10.1002/humu.22033
PCDHGA1	https://dx.doi.org/10.1002/humu.22033
PCDHGA10	https://dx.doi.org/10.1002/humu.22033
PCDHGA12	https://dx.doi.org/10.1002/humu.22033
PCDHGA2	https://dx.doi.org/10.1002/humu.22033
PCDHGA3	https://dx.doi.org/10.1002/humu.22033
PCDHGA6	https://dx.doi.org/10.1002/humu.22033
PCDHGB4	https://dx.doi.org/10.1002/humu.22033
PCDHGB5	https://dx.doi.org/10.1002/humu.22033
PCSK7	https://dx.doi.org/10.1002/humu.22033
PDCD6	https://dx.doi.org/10.1002/humu.22033
PDCD6IP	https://dx.doi.org/10.1002/humu.22033
PDE4DIP	https://dx.doi.org/10.1002/humu.22033
PDPK1	https://dx.doi.org/10.1002/humu.22033
PDPR	https://dx.doi.org/10.1002/humu.22033
PDXDC1	https://dx.doi.org/10.1002/humu.22033
PDZK1	https://dx.doi.org/10.1002/humu.22033
PGA3	https://dx.doi.org/10.1002/humu.22033
PGA4	https://dx.doi.org/10.1002/humu.22033
PGA5	https://dx.doi.org/10.1002/humu.22033
PGAM1	https://dx.doi.org/10.1002/humu.22033
PGAM4	https://dx.doi.org/10.1002/humu.22033
PGM5	https://dx.doi.org/10.1002/humu.22033
PHC1	https://dx.doi.org/10.1002/humu.22033
PI4KA	https://dx.doi.org/10.1002/humu.22033
PIEZO2	https://dx.doi.org/10.1002/humu.22033
PIGF	https://dx.doi.org/10.1002/humu.22033
PIK3CA	https://dx.doi.org/10.1002/humu.22033
PITPNB	https://dx.doi.org/10.1002/humu.22033
PKD1	https://dx.doi.org/10.1002/humu.22033
PLA2G10	https://dx.doi.org/10.1002/humu.22033
PLEKHM1	https://dx.doi.org/10.1002/humu.22033
PLG	https://dx.doi.org/10.1002/humu.22033
PLGLB1	https://dx.doi.org/10.1002/humu.22033
PLGLB2	https://dx.doi.org/10.1002/humu.22033
PMS2	https://dx.doi.org/10.1002/humu.22033
PNMA6A	https://dx.doi.org/10.1002/humu.22033
PNRC2	https://dx.doi.org/10.1002/humu.22033
POLR2J	https://dx.doi.org/10.1002/humu.22033
POLR2J2	https://dx.doi.org/10.1002/humu.22033
POLR2J3	https://dx.doi.org/10.1002/humu.22033
POM121	https://dx.doi.org/10.1002/humu.22033
POM121C	https://dx.doi.org/10.1002/humu.22033
POMZP3	https://dx.doi.org/10.1002/humu.22033
POTEB	https://dx.doi.org/10.1002/humu.22033
POTEB2	https://dx.doi.org/10.1002/humu.22033
POTEC	https://dx.doi.org/10.1002/humu.22033
POTED	https://dx.doi.org/10.1002/humu.22033
POTEE	https://dx.doi.org/10.1002/humu.22033
POTEF	https://dx.doi.org/10.1002/humu.22033
POTEG	https://dx.doi.org/10.1002/humu.22033
POTEH	https://dx.doi.org/10.1002/humu.22033
POTEI	https://dx.doi.org/10.1002/humu.22033
POTEJ	https://dx.doi.org/10.1002/humu.22033
POTEM	https://dx.doi.org/10.1002/humu.22033
POU5F1B	https://dx.doi.org/10.1002/humu.22033
PPIAL4A	https://dx.doi.org/10.1002/humu.22033
PPIAL4C	https://dx.doi.org/10.1002/humu.22033
PPIAL4D	https://dx.doi.org/10.1002/humu.22033
PPIAL4E	https://dx.doi.org/10.1002/humu.22033
PPIAL4F	https://dx.doi.org/10.1002/humu.22033
PPIAL4G	https://dx.doi.org/10.1002/humu.22033
PPIP5K1	https://dx.doi.org/10.1002/humu.22033
PPP1R12B	https://dx.doi.org/10.1002/humu.22033
PRAMEF1	https://dx.doi.org/10.1002/humu.22033
PRAMEF10	https://dx.doi.org/10.1002/humu.22033
PRAMEF11	https://dx.doi.org/10.1002/humu.22033
PRAMEF13	https://dx.doi.org/10.1002/humu.22033
PRAMEF15	https://dx.doi.org/10.1002/humu.22033
PRAMEF17	https://dx.doi.org/10.1002/humu.22033
PRAMEF18	https://dx.doi.org/10.1002/humu.22033
PRAMEF19	https://dx.doi.org/10.1002/humu.22033
PRAMEF2	https://dx.doi.org/10.1002/humu.22033
PRAMEF20	https://dx.doi.org/10.1002/humu.22033
PRAMEF22	https://dx.doi.org/10.1002/humu.22033
PRAMEF4	https://dx.doi.org/10.1002/humu.22033
PRAMEF5	https://dx.doi.org/10.1002/humu.22033
PRAMEF6	https://dx.doi.org/10.1002/humu.22033
PRAMEF7	https://dx.doi.org/10.1002/humu.22033
PRAMEF8	https://dx.doi.org/10.1002/humu.22033
PRAMEF9	https://dx.doi.org/10.1002/humu.22033
PRB1	https://dx.doi.org/10.1002/humu.22033
PRB2	https://dx.doi.org/10.1002/humu.22033
PRB3	https://dx.doi.org/10.1002/humu.22033
PRDM9	https://dx.doi.org/10.1002/humu.22033
PRKRIR	https://dx.doi.org/10.1002/humu.22033
PROS1	https://dx.doi.org/10.1002/humu.22033
PRR20A	https://dx.doi.org/10.1002/humu.22033
PRR20B	https://dx.doi.org/10.1002/humu.22033
PRR20C	https://dx.doi.org/10.1002/humu.22033
PRR20D	https://dx.doi.org/10.1002/humu.22033
PRR20E	https://dx.doi.org/10.1002/humu.22033
PRR21	https://dx.doi.org/10.1002/humu.22033
PRR23D1	https://dx.doi.org/10.1002/humu.22033
PRR23D2	https://dx.doi.org/10.1002/humu.22033
PRY	https://dx.doi.org/10.1002/humu.22033
PRY2	https://dx.doi.org/10.1002/humu.22033
PSG2	https://dx.doi.org/10.1002/humu.22033
PSG3	https://dx.doi.org/10.1002/humu.22033
PSG7	https://dx.doi.org/10.1002/humu.22033
PSG8	https://dx.doi.org/10.1002/humu.22033
PSG9	https://dx.doi.org/10.1002/humu.22033
PSPC1	https://dx.doi.org/10.1002/humu.22033
PTPN20	https://dx.doi.org/10.1002/humu.22033
RAB40A	https://dx.doi.org/10.1002/humu.22033
RAB40AL	https://dx.doi.org/10.1002/humu.22033
RAB6C	https://dx.doi.org/10.1002/humu.22033
RABL2A	https://dx.doi.org/10.1002/humu.22033
RABL2B	https://dx.doi.org/10.1002/humu.22033
RAET1L	https://dx.doi.org/10.1002/humu.22033
RALGAPA1	https://dx.doi.org/10.1002/humu.22033
RANBP2	https://dx.doi.org/10.1002/humu.22033
RASA4	https://dx.doi.org/10.1002/humu.22033
RASA4B	https://dx.doi.org/10.1002/humu.22033
RBAK	https://dx.doi.org/10.1002/humu.22033
RBAK-RBAKDN	https://dx.doi.org/10.1002/humu.22033
RBMY1A1	https://dx.doi.org/10.1002/humu.22033
RBMY1B	https://dx.doi.org/10.1002/humu.22033
RBMY1D	https://dx.doi.org/10.1002/humu.22033
RBMY1E	https://dx.doi.org/10.1002/humu.22033
RBMY1F	https://dx.doi.org/10.1002/humu.22033
RBMY1J	https://dx.doi.org/10.1002/humu.22033
RFPL4A	https://dx.doi.org/10.1002/humu.22033
RFPL4AL1	https://dx.doi.org/10.1002/humu.22033
RGPD1	https://dx.doi.org/10.1002/humu.22033
RGPD2	https://dx.doi.org/10.1002/humu.22033
RGPD3	https://dx.doi.org/10.1002/humu.22033
RGPD4	https://dx.doi.org/10.1002/humu.22033
RGPD5	https://dx.doi.org/10.1002/humu.22033
RGPD6	https://dx.doi.org/10.1002/humu.22033
RGPD8	https://dx.doi.org/10.1002/humu.22033
RHCE	https://dx.doi.org/10.1002/humu.22033
RHD	https://dx.doi.org/10.1002/humu.22033
RHOXF2	https://dx.doi.org/10.1002/humu.22033
RHOXF2B	https://dx.doi.org/10.1002/humu.22033
RHPN2	https://dx.doi.org/10.1002/humu.22033
RIMBP3	https://dx.doi.org/10.1002/humu.22033
RIMBP3B	https://dx.doi.org/10.1002/humu.22033
RIMBP3C	https://dx.doi.org/10.1002/humu.22033
RLN2	https://dx.doi.org/10.1002/humu.22033
RMND5A	https://dx.doi.org/10.1002/humu.22033
RNF216	https://dx.doi.org/10.1002/humu.22033
ROCK1	https://dx.doi.org/10.1002/humu.22033
ROPN1	https://dx.doi.org/10.1002/humu.22033
ROPN1B	https://dx.doi.org/10.1002/humu.22033
RPL15	https://dx.doi.org/10.1002/humu.22033
RPL32	https://dx.doi.org/10.1002/humu.22033
RPL7L1	https://dx.doi.org/10.1002/humu.22033
RPS17	https://dx.doi.org/10.1002/humu.22033
RRN3	https://dx.doi.org/10.1002/humu.22033
RRP7A	https://dx.doi.org/10.1002/humu.22033
RSPH10B	https://dx.doi.org/10.1002/humu.22033
RSPH10B2	https://dx.doi.org/10.1002/humu.22033
SAA1	https://dx.doi.org/10.1002/humu.22033
SAA2	https://dx.doi.org/10.1002/humu.22033
SAA2-SAA4	https://dx.doi.org/10.1002/humu.22033
SAFB	https://dx.doi.org/10.1002/humu.22033
SAFB2	https://dx.doi.org/10.1002/humu.22033
SCX	https://dx.doi.org/10.1002/humu.22033
SDHA	https://dx.doi.org/10.1002/humu.22033
SDHC	https://dx.doi.org/10.1002/humu.22033
SEC14L4	https://dx.doi.org/10.1002/humu.22033
SEC14L6	https://dx.doi.org/10.1002/humu.22033
SERF1A	https://dx.doi.org/10.1002/humu.22033
SERF1B	https://dx.doi.org/10.1002/humu.22033
SERHL2	https://dx.doi.org/10.1002/humu.22033
SERPINB3	https://dx.doi.org/10.1002/humu.22033
SFTPA1	https://dx.doi.org/10.1002/humu.22033
SFTPA2	https://dx.doi.org/10.1002/humu.22033
SIGLEC10	https://dx.doi.org/10.1002/humu.22033
SIGLEC11	https://dx.doi.org/10.1002/humu.22033
SIGLEC14	https://dx.doi.org/10.1002/humu.22033
SIGLEC5	https://dx.doi.org/10.1002/humu.22033
SIMC1	https://dx.doi.org/10.1002/humu.22033
SLC16A6	https://dx.doi.org/10.1002/humu.22033
SLC25A51	https://dx.doi.org/10.1002/humu.22033
SLC2A14	https://dx.doi.org/10.1002/humu.22033
SLC2A3	https://dx.doi.org/10.1002/humu.22033
SLC35E2	https://dx.doi.org/10.1002/humu.22033
SLC35E2B	https://dx.doi.org/10.1002/humu.22033
SLC35G4	https://dx.doi.org/10.1002/humu.22033
SLC35G5	https://dx.doi.org/10.1002/humu.22033
SLC6A8	https://dx.doi.org/10.1002/humu.22033
SLC9B1	https://dx.doi.org/10.1002/humu.22033
SLFN11	https://dx.doi.org/10.1002/humu.22033
SLFN13	https://dx.doi.org/10.1002/humu.22033
SLX1A	https://dx.doi.org/10.1002/humu.22033
SLX1B	https://dx.doi.org/10.1002/humu.22033
SMG1	https://dx.doi.org/10.1002/humu.22033
SMN1	https://dx.doi.org/10.1002/humu.22033
SMN2	https://dx.doi.org/10.1002/humu.22033
SORD	https://dx.doi.org/10.1002/humu.22033
SP140	https://dx.doi.org/10.1002/humu.22033
SP140L	https://dx.doi.org/10.1002/humu.22033
SPACA5	https://dx.doi.org/10.1002/humu.22033
SPACA5B	https://dx.doi.org/10.1002/humu.22033
SPAG11A	https://dx.doi.org/10.1002/humu.22033
SPAG11B	https://dx.doi.org/10.1002/humu.22033
SPANXA1	https://dx.doi.org/10.1002/humu.22033
SPANXA2	https://dx.doi.org/10.1002/humu.22033
SPANXB1	https://dx.doi.org/10.1002/humu.22033
SPANXC	https://dx.doi.org/10.1002/humu.22033
SPANXD	https://dx.doi.org/10.1002/humu.22033
SPATA31A1	https://dx.doi.org/10.1002/humu.22033
SPATA31A3	https://dx.doi.org/10.1002/humu.22033
SPATA31A5	https://dx.doi.org/10.1002/humu.22033
SPATA31A6	https://dx.doi.org/10.1002/humu.22033
SPATA31A7	https://dx.doi.org/10.1002/humu.22033
SPATA31C1	https://dx.doi.org/10.1002/humu.22033
SPATA31C2	https://dx.doi.org/10.1002/humu.22033
SPATA31D1	https://dx.doi.org/10.1002/humu.22033
SPATA31D3	https://dx.doi.org/10.1002/humu.22033
SPATA31D4	https://dx.doi.org/10.1002/humu.22033
SPCS2	https://dx.doi.org/10.1002/humu.22033
SPDYE1	https://dx.doi.org/10.1002/humu.22033
SPDYE2	https://dx.doi.org/10.1002/humu.22033
SPDYE2B	https://dx.doi.org/10.1002/humu.22033
SPDYE3	https://dx.doi.org/10.1002/humu.22033
SPDYE5	https://dx.doi.org/10.1002/humu.22033
SPDYE6	https://dx.doi.org/10.1002/humu.22033
SPIDR	https://dx.doi.org/10.1002/humu.22033
SPIN2A	https://dx.doi.org/10.1002/humu.22033
SPIN2B	https://dx.doi.org/10.1002/humu.22033
SPTLC1	https://dx.doi.org/10.1002/humu.22033
SRGAP2	https://dx.doi.org/10.1002/humu.22033
SRGAP2B	https://dx.doi.org/10.1002/humu.22033
SRGAP2C	https://dx.doi.org/10.1002/humu.22033
SRGAP2D	https://dx.doi.org/10.1002/humu.22033
SRSF10	https://dx.doi.org/10.1002/humu.22033
SSX1	https://dx.doi.org/10.1002/humu.22033
SSX2	https://dx.doi.org/10.1002/humu.22033
SSX2B	https://dx.doi.org/10.1002/humu.22033
SSX3	https://dx.doi.org/10.1002/humu.22033
SSX4	https://dx.doi.org/10.1002/humu.22033
SSX4B	https://dx.doi.org/10.1002/humu.22033
SSX7	https://dx.doi.org/10.1002/humu.22033
STAG3	https://dx.doi.org/10.1002/humu.22033
STAT5A	https://dx.doi.org/10.1002/humu.22033
STAT5B	https://dx.doi.org/10.1002/humu.22033
STEAP1B	https://dx.doi.org/10.1002/humu.22033
STK19	https://dx.doi.org/10.1002/humu.22033
STRC	https://dx.doi.org/10.1002/humu.22033
SULT1A1	https://dx.doi.org/10.1002/humu.22033
SULT1A2	https://dx.doi.org/10.1002/humu.22033
SULT1A3	https://dx.doi.org/10.1002/humu.22033
SULT1A4	https://dx.doi.org/10.1002/humu.22033
SUPT20HL1	https://dx.doi.org/10.1002/humu.22033
SUPT20HL2	https://dx.doi.org/10.1002/humu.22033
SUZ12	https://dx.doi.org/10.1002/humu.22033
SYT15	https://dx.doi.org/10.1002/humu.22033
SYT3	https://dx.doi.org/10.1002/humu.22033
TBC1D26	https://dx.doi.org/10.1002/humu.22033
TBC1D28	https://dx.doi.org/10.1002/humu.22033
TBC1D3	https://dx.doi.org/10.1002/humu.22033
TBC1D3B	https://dx.doi.org/10.1002/humu.22033
TBC1D3C	https://dx.doi.org/10.1002/humu.22033
TBC1D3F	https://dx.doi.org/10.1002/humu.22033
TBC1D3G	https://dx.doi.org/10.1002/humu.22033
TBC1D3H	https://dx.doi.org/10.1002/humu.22033
TBX20	https://dx.doi.org/10.1002/humu.22033
TCAF1	https://dx.doi.org/10.1002/humu.22033
TCAF2	https://dx.doi.org/10.1002/humu.22033
TCEB3C	https://dx.doi.org/10.1002/humu.22033
TCEB3CL	https://dx.doi.org/10.1002/humu.22033
TCEB3CL2	https://dx.doi.org/10.1002/humu.22033
TCP10	https://dx.doi.org/10.1002/humu.22033
TCP10L2	https://dx.doi.org/10.1002/humu.22033
TCP11X2	https://dx.doi.org/10.1002/humu.22033
TEX28	https://dx.doi.org/10.1002/humu.22033
TGIF2LX	https://dx.doi.org/10.1002/humu.22033
TGIF2LY	https://dx.doi.org/10.1002/humu.22033
THOC3	https://dx.doi.org/10.1002/humu.22033
TIMM23	https://dx.doi.org/10.1002/humu.22033
TIMM23B	https://dx.doi.org/10.1002/humu.22033
TLK2	https://dx.doi.org/10.1002/humu.22033
TLR1	https://dx.doi.org/10.1002/humu.22033
TLR6	https://dx.doi.org/10.1002/humu.22033
TMEM183A	https://dx.doi.org/10.1002/humu.22033
TMEM183B	https://dx.doi.org/10.1002/humu.22033
TMEM185A	https://dx.doi.org/10.1002/humu.22033
TMEM191B	https://dx.doi.org/10.1002/humu.22033
TMEM191C	https://dx.doi.org/10.1002/humu.22033
TMEM231	https://dx.doi.org/10.1002/humu.22033
TMEM236	https://dx.doi.org/10.1002/humu.22033
TMLHE	https://dx.doi.org/10.1002/humu.22033
TNRC18	https://dx.doi.org/10.1002/humu.22033
TNXB	https://dx.doi.org/10.1002/humu.22033
TOP3B	https://dx.doi.org/10.1002/humu.22033
TP53TG3	https://dx.doi.org/10.1002/humu.22033
TP53TG3B	https://dx.doi.org/10.1002/humu.22033
TP53TG3C	https://dx.doi.org/10.1002/humu.22033
TP53TG3D	https://dx.doi.org/10.1002/humu.22033
TPRX1	https://dx.doi.org/10.1002/humu.22033
TPSAB1	https://dx.doi.org/10.1002/humu.22033
TPSB2	https://dx.doi.org/10.1002/humu.22033
TPTE	https://dx.doi.org/10.1002/humu.22033
TPTE2	https://dx.doi.org/10.1002/humu.22033
TRIM16	https://dx.doi.org/10.1002/humu.22033
TRIM43	https://dx.doi.org/10.1002/humu.22033
TRIM43B	https://dx.doi.org/10.1002/humu.22033
TRIM48	https://dx.doi.org/10.1002/humu.22033
TRIM49	https://dx.doi.org/10.1002/humu.22033
TRIM49B	https://dx.doi.org/10.1002/humu.22033
TRIM49C	https://dx.doi.org/10.1002/humu.22033
TRIM49D1	https://dx.doi.org/10.1002/humu.22033
TRIM49D2	https://dx.doi.org/10.1002/humu.22033
TRIM50	https://dx.doi.org/10.1002/humu.22033
TRIM51	https://dx.doi.org/10.1002/humu.22033
TRIM61	https://dx.doi.org/10.1002/humu.22033
TRIM64	https://dx.doi.org/10.1002/humu.22033
TRIM64B	https://dx.doi.org/10.1002/humu.22033
TRIM73	https://dx.doi.org/10.1002/humu.22033
TRIM74	https://dx.doi.org/10.1002/humu.22033
TRIOBP	https://dx.doi.org/10.1002/humu.22033
TRPA1	https://dx.doi.org/10.1002/humu.22033
TSPY1	https://dx.doi.org/10.1002/humu.22033
TSPY10	https://dx.doi.org/10.1002/humu.22033
TSPY2	https://dx.doi.org/10.1002/humu.22033
TSPY3	https://dx.doi.org/10.1002/humu.22033
TSPY4	https://dx.doi.org/10.1002/humu.22033
TSPY8	https://dx.doi.org/10.1002/humu.22033
TTC30A	https://dx.doi.org/10.1002/humu.22033
TTC30B	https://dx.doi.org/10.1002/humu.22033
TTL	https://dx.doi.org/10.1002/humu.22033
TTN	https://dx.doi.org/10.1002/humu.22033
TUBA1A	https://dx.doi.org/10.1002/humu.22033
