#PFAM_ID	DESCRIPTION
PF07564	Domain of Unknown Function (DUF1542)
PF07566	Domain of Unknown Function (DUF1543)
PF07577	Domain of Unknown Function (DUF1547)
PF07579	Domain of Unknown Function (DUF1548)
PF02582	Uncharacterised ACR, YagE family COG1723
PF07588	Protein of unknown function (DUF1554)
PF07590	Protein of unknown function (DUF1556)
PF07598	Protein of unknown function (DUF1561)
PF07599	Protein of unknown function (DUF1563)
PF07600	Protein of unknown function (DUF1564)
PF07602	Protein of unknown function (DUF1565)
PF07603	Protein of unknown function (DUF1566)
PF07606	Protein of unknown function (DUF1569)
PF07607	Protein of unknown function (DUF1570)
PF07608	Protein of unknown function (DUF1571)
PF07609	Protein of unknown function (DUF1572)
PF07610	Protein of unknown function (DUF1573)
PF07611	Protein of unknown function (DUF1574)
PF07613	Protein of unknown function (DUF1576)
PF07614	Protein of unknown function (DUF1577)
PF07617	Protein of unknown function (DUF1579)
PF07618	Protein of unknown function (DUF1580)
PF07619	Protein of unknown function (DUF1581)
PF07621	Protein of unknown function (DUF1582)
PF07622	Protein of unknown function (DUF1583)
PF07628	Protein of unknown function (DUF1589)
PF07632	Protein of unknown function (DUF1593)
PF07643	Protein of unknown function (DUF1598)
PF07659	Nucleotide modification associated domain 1
PF01519	Protein of unknown function DUF16
PF07667	Protein of unknown function (DUF1600)
PF07671	Protein of unknown function (DUF1601)
PF07713	Protein of unknown function (DUF1604)
PF07753	Protein of unknown function (DUF1609)
PF07755	Domain of unknown function (DUF1611_C) P-loop domain
PF17396	Domain of unknown function (DUF1611_N) Rossmann-like domain
PF07756	Protein of unknown function (DUF1612)
PF07758	Protein of unknown function (DUF1614)
PF07759	Protein of unknown function (DUF1615)
PF07760	Protein of unknown function (DUF1616)
PF07761	Protein of unknown function (DUF1617)
PF07762	Protein of unknown function (DUF1618)
PF07773	Protein of unknown function (DUF1619)
PF07784	Protein of unknown function (DUF1622)
PF07785	Protein of unknown function (DUF1623)
PF07789	Protein of unknown function (DUF1627)
PF07791	Protein of unknown function (DUF1629)
PF07793	Protein of unknown function (DUF1631)
PF07794	Protein of unknown function (DUF1633)
PF07843	Protein of unknown function (DUF1634)
PF07795	Protein of unknown function (DUF1635)
PF07845	Protein of unknown function (DUF1636)
PF07796	Protein of unknown function (DUF1638)
PF07797	Protein of unknown function (DUF1639)
PF07798	Protein of unknown function (DUF1640)
PF07849	Protein of unknown function (DUF1641)
PF07852	Protein of unknown function (DUF1642)
PF07799	Protein of unknown function (DUF1643)
PF07800	Protein of unknown function (DUF1644)
PF07816	Protein of unknown function (DUF1645)
PF07854	Protein of unknown function (DUF1646)
PF07801	Protein of unknown function (DUF1647)
PF07853	Protein of unknown function (DUF1648)
PF07864	Protein of unknown function (DUF1651)
PF07865	Protein of unknown function (DUF1652)
PF07866	Protein of unknown function (DUF1653)
PF07867	Protein of unknown function (DUF1654)
PF07868	Protein of unknown function (DUF1655)
PF07869	Protein of unknown function (DUF1656)
PF07870	Protein of unknown function (DUF1657)
PF07872	Protein of unknown function (DUF1659)
PF02593	Domain of unknown function
PF07874	Prophage protein (DUF1660)
PF07877	Protein of unknown function (DUF1661)
PF07909	Protein of unknown function (DUF1663)
PF07889	Protein of unknown function (DUF1664)
PF07891	Protein of unknown function (DUF1666)
PF07892	Protein of unknown function (DUF1667)
PF07893	Protein of unknown function (DUF1668)
PF02594	Uncharacterised ACR, YggU family COG1872
PF07900	Protein of unknown function (DUF1670)
PF07901	Protein of unknown function (DUF1672)
PF07895	Protein of unknown function (DUF1673)
PF07896	Protein of unknown function (DUF1674)
PF07898	Protein of unknown function (DUF1676)
PF07911	Protein of unknown function (DUF1677)
PF07913	Protein of unknown function (DUF1678)
PF07914	Protein of unknown function (DUF1679)
PF07933	Protein of unknown function (DUF1681)
PF07946	Protein of unknown function (DUF1682)
PF07920	Protein of unknown function (DUF1684)
PF07939	Protein of unknown function (DUF1685)
PF07937	Protein of unknown function (DUF1686)
PF07955	Protein of unknown function (DUF1687) 
PF07958	Protein of unknown function (DUF1688)
PF07954	Protein of unknown function (DUF1689) 
PF02596	Uncharacterised ArCR, COG2043
PF07956	Protein of Unknown function (DUF1690) 
PF07950	Protein of unknown function (DUF1691)
PF07997	Protein of unknown function (DUF1694)
PF08002	Protein of unknown function (DUF1697)
PF08004	Protein of unknown function (DUF1699)
PF08006	Protein of unknown function (DUF1700)
PF08012	Protein of unknown function (DUF1702)
PF08014	Domain of unknown function (DUF1704)
PF08020	Protein of unknown function (DUF1706)   
PF08044	Domain of unknown function (DUF1707)
PF08101	Domain of unknown function (DUF1708)
PF08213	Mitochondrial domain of unknown function (DUF1713)
PF05414	Viral domain of unknown function (DUF1717)
PF08224	Domain of unknown function (DUF1719)
PF08226	Domain of unknown function (DUF1720)
PF08349	Protein of unknown function (DUF1722)
PF08350	Domain of unknown function (DUF1724)
PF08333	Protein of unknown function (DUF1725)
PF08351	Domain of unknown function (DUF1726)
PF08354	Domain of unknown function (DUF1729)
PF08331	Domain of unknown function (DUF1730)
PF08338	Domain of unknown function (DUF1731)
PF08340	Domain of unknown function (DUF1732)
PF08522	Domain of unknown function (DUF1735)
PF08409	Domain of unknown function (DUF1736)
PF08410	Domain of unknown function (DUF1737)
PF08427	Domain of unknown function (DUF1741)
PF08489	Domain of unknown function (DUF1743)
PF08490	Domain of unknown function (DUF1744)
PF08508	Fungal domain of unknown function (DUF1746)
PF08520	Fungal protein of unknown function (DUF1748)
PF08538	Protein of unknown function (DUF1749)
PF08551	Eukaryotic integral membrane protein (DUF1751)
PF08550	Fungal protein of unknown function (DUF1752)
PF08560	Protein of unknown function (DUF1757)
PF05585	Putative peptidase (DUF1758)
PF03564	Protein of unknown function (DUF1759)
PF08570	Protein of unknown function (DUF1761)
PF08576	Eukaryotic protein of unknown function (DUF1764)
PF08578	Protein of unknown function (DUF1765)
PF08588	Protein of unknown function (DUF1769)
PF08590	Domain of unknown function (DUF1771)
PF08592	Domain of unknown function (DUF1772)
PF08593	Domain of unknown function
PF08611	Fungal protein of unknown function (DUF1774)
PF07987	Domain of unkown function (DUF1775)
PF08643	Fungal family of unknown function (DUF1776)
PF08681	Protein of unknown function (DUF1778)
PF08680	TATA-box binding
PF08682	Putative endonuclease, protein of unknown function (DUF1780)
PF08735	Putative pyruvate format-lyase activating enzyme (DUF1786)
PF08747	Domain of unknown function (DUF1788)
PF02622	Uncharacterized ACR, COG1678
PF08760	Domain of unknown function (DUF1793)
PF08795	Putative papain-like cysteine peptidase (DUF1796)
PF08796	Protein of unknown function (DUF1797)
PF08807	Bacterial domain of unknown function (DUF1798)
PF08809	Phage related hypothetical protein (DUF1799)
PF08811	Protein of unknown function (DUF1800)
PF08818	Domain of unknown function (DU1801)
PF08819	Domain of unknown function (DUF1802)
PF08820	Domain of unknown function (DUF1803)
PF08822	Protein of unknown function (DUF1804)
PF08827	Domain of unknown function (DUF1805)
PF08830	Protein of unknown function (DUF1806)
PF08837	Protein of unknown function (DUF1810)
PF08838	Protein of unknown function (DUF1811)
PF08844	Domain of unknown function (DUF1815)
PF08846	Domain of unknown function (DUF1816)
PF08848	Domain of unknown function (DUF1818)
PF08849	Putative inner membrane protein (DUF1819)
PF08850	Domain of unknown function (DUF1820)
PF08852	Protein of unknown function (DUF1822)
PF08853	Domain of unknown function (DUF1823)
PF08854	Domain of unknown function (DUF1824)
PF08855	Domain of unknown function (DUF1825)
PF08856	Protein of unknown function (DUF1826)
PF08860	Domain of unknown function (DUF1827)
PF08861	Domain of unknown function DUF1828
PF08862	Domain of unknown function DUF1829
PF08865	Domain of unknown function (DUF1830)
PF08866	Putative amino acid metabolism
PF08875	Domain of unknown function (DUF1833)
PF08873	Domain of unknown function (DUF1834)
PF08874	Domain of unknown function (DUF1835)
PF08876	Domain of unknown function (DUF1836)
PF08894	Protein of unknown function (DUF1838)
PF08893	Domain of unknown function (DUF1839)
PF08895	Domain of unknown function (DUF1840)
PF08897	Domain of unknown function (DUF1841)
PF08896	Domain of unknown function (DUF1842)
PF08898	Domain of unknown function (DUF1843)
PF08899	Domain of unknown function (DUF1844)
PF08903	Domain of unknown function (DUF1846)
PF08901	Protein of unknown function (DUF1847)
PF08902	Domain of unknown function (DUF1848)
PF08905	Domain of unknown function (DUF1850)
PF08906	Domain of unknown function (DUF1851)
PF08908	Domain of unknown function (DUF1852)
PF08907	Domain of unknown function (DUF1853)
PF08909	Domain of unknown function (DUF1854)
PF08983	Domain of unknown function (DUF1856)
PF08982	Domain of unknown function (DUF1857)
PF08984	Domain of unknown function (DUF1858)
PF08948	Domain of unknown function (DUF1859)
PF08949	Domain of unknown function (DUF1860)
PF08950	Protein of unknown function (DUF1861)
PF08937	MTH538 TIR-like domain (DUF1863)
PF08933	Domain of unknown function (DUF1864)
PF08952	Domain of unknown function (DUF1866) 
PF08956	Domain of unknown function (DUF1869)
PF08965	Domain of unknown function (DUF1870)
PF08958	Domain of unknown function (DUF1871)
PF08960	Domain of unknown function (DUF1874)
PF08962	Domain of unknown function (DUF1876)
PF08974	Domain of unknown function (DUF1877)
PF08963	Protein of unknown function (DUF1878)
PF02639	Uncharacterized BCR, YaiI/YqxD family COG1671
PF08966	Domain of unknown function (DUF1882)
PF08980	Domain of unknown function (DUF1883)
PF08967	Domain of unknown function (DUF1884)
PF08968	Domain of unknown function (DUF1885)
PF09002	Domain of unknown function (DUF1887)
PF08986	Domain of unknown function (DUF1889)
PF09001	Domain of unknown function (DUF1890)
PF09004	Domain of unknown function (DUF1891)
PF08987	Protein of unknown function (DUF1892)
PF08979	Domain of unknown function (DUF1894)
PF08989	Domain of unknown function (DUF1896)
PF09005	Domain of unknown function (DUF1897)
PF08953	Domain of unknown function (DUF1899)
PF01579	Domain of unknown function (DUF19)
PF02641	Uncharacterized ACR, COG1993
PF08972	Domain of unknown function (DUF1902)
PF08921	Domain of unknown function (DUF1904)
PF08922	Domain of unknown function (DUF1905)
PF08924	Domain of unknown function (DUF1906)
PF08925	Domain of Unknown Function (DUF1907)
PF08926	Domain of unknown function (DUF1908)
PF08928	Domain of unknown function (DUF1910)
PF08929	Domain of unknown function (DUF1911)
PF08930	Domain of unknown function (DUF1912)
PF08939	Domain of unknown function (DUF1917)
PF08940	Domain of unknown function (DUF1918)
PF08942	Domain of unknown function (DUF1919)
PF02643	Uncharacterized ACR, COG1430
PF09081	Domain of unknown function (DUF1921)
PF09082	Domain of unknown function (DUF1922)
PF09083	Domain of unknown function (DUF1923)
PF09086	Domain of unknown function (DUF1924)
PF09094	Domain of unknown function (DUF1925)
PF09095	Domain of unknown function (DUF1926)
PF09118	Domain of unknown function (DUF1929)
PF09122	Domain of unknown function (DUF1930)
PF09123	Domain of unknown function (DUF1931)
PF09130	Domain of unknown function (DUF1932)
PF09147	Domain of unknown function (DUF1933)
PF09148	Domain of unknown function (DUF1934)
PF09149	Domain of unknown function (DUF1935)
PF09151	Domain of unknown function (DUF1936)
PF09152	Domain of unknown function (DUF1937)
PF09153	Domain of unknown function (DUF1938)
PF09154	Domain of unknown function (DUF1939)
PF09155	Domain of unknown function (DUF1940)
PF09167	Domain of unknown function (DUF1942)
PF09172	Domain of unknown function (DUF1943)
PF09175	Domain of unknown function (DUF1944)
PF09178	Domain of unknown function (DUF1945)
PF09183	Domain of unknown function (DUF1947)
PF09185	Domain of unknown function (DUF1948)
PF09186	Domain of unknown function (DUF1949)
PF09188	Domain of unknown function (DUF1951)
PF09189	Domain of unknown function (DUF1952)
PF09196	Domain of unknown function (DUF1953)
PF09205	Domain of unknown function (DUF1955)
PF09210	Domain of unknown function (DUF1957)
PF09211	Domain of unknown function (DUF1958)
PF09218	Domain of unknown function (DUF1959)
PF09224	Domain of unknown function (DUF1961)
PF09227	Domain of unknown function (DUF1962)
PF09234	Domain of unknown function (DUF1963)
PF09244	Domain of unknown function (DUF1964)
PF09248	Domain of unknown function (DUF1965)
PF09260	Domain of unknown function (DUF1966)
PF09269	Domain of unknown function (DUF1967)
PF09291	Domain of unknown function (DUF1968)
PF09301	Domain of unknown function (DUF1970)
PF09313	Domain of unknown function (DUF1971)
PF09314	Domain of unknown function (DUF1972)
PF09317	Domain of unknown function (DUF1974)
PF09320	Domain of unknown function (DUF1977)
PF09321	Domain of unknown function (DUF1978)
PF09322	Domain of unknown function (DUF1979)
PF09323	Domain of unknown function (DUF1980)
PF09324	Domain of unknown function (DUF1981)
PF09327	Domain of unknown function (DUF1983)
PF09331	Domain of unknown function (DUF1985)
PF09342	Domain of unknown function (DUF1986)
PF09347	Domain of unknown function (DUF1989)
PF09348	Domain of unknown function (DUF1990)
PF09350	Domain of unknown function (DUF1992)
PF09351	Domain of unknown function (DUF1993)
PF09353	Domain of unknown function (DUF1995)
PF09362	Domain of unknown function (DUF1996)
PF09366	Protein of unknown function (DUF1997)
PF09369	Domain of unknown function (DUF1998)
PF09390	Protein of unknown function (DUF1999)
PF09391	Protein of unknown function (DUF2000)
PF09393	Phage tail tube protein
PF09400	Protein of unknown function (DUF2002)
PF09406	Protein of unknown function (DUF2004)
PF09413	Putative prokaryotic signal transducing protein 
PF09418	Protein of unknown function (DUF2009)
PF09428	Fungal protein of unknown function (DUF2011)
PF09430	Protein of unknown function (DUF2012)
PF09431	Protein of unknown function (DUF2013)
PF09427	Domain of unknown function (DUF2014) 
PF09435	Fungal protein of unknown function (DUF2015)
PF09436	Domain of unknown function (DUF2016)
PF09438	Domain of unknown function (DUF2017)
PF09442	Domain of unknown function (DUF2018)
PF09450	Domain of unknown function (DUF2019)
PF02656	Domain of unknown function (DUF202)
PF09449	Domain of unknown function (DUF2020)
PF09633	Protein of unknown function (DUF2023)
PF09630	Domain of unknown function (DUF2024)
PF09634	Protein of unknown function (DUF2025)
PF09641	Protein of unknown function (DUF2026)
PF09640	Domain of unknown function (DUF2027)
PF09667	Domain of unknown function (DUF2028)
PF09592	Protein of unknown function (DUF2031)
PF10356	Protein of unknown function (DUF2034)
PF10217	Uncharacterized conserved protein (DUF2039)
PF09745	Coiled-coil domain-containing protein 55 (DUF2040)
PF09740	Uncharacterized conserved protein (DUF2043)
PF09741	Uncharacterized conserved protein (DUF2045)
PF09755	Uncharacterized conserved protein H4 (DUF2046)
PF09752	Alpha/beta hydrolase domain containing 18 
PF09747	Coiled-coil domain containing protein (DUF2052)
PF09767	Predicted membrane protein (DUF2053)
PF09829	Uncharacterized protein conserved in bacteria (DUF2057)
PF09831	Uncharacterized protein conserved in bacteria (DUF2058)
PF09832	Uncharacterized protein conserved in bacteria (DUF2059)
PF09834	Predicted membrane protein (DUF2061)
PF09835	Uncharacterized protein conserved in bacteria (DUF2062)
PF09836	Putative DNA-binding domain
PF09837	Uncharacterized protein conserved in bacteria (DUF2064)
PF09838	Uncharacterized protein conserved in bacteria (DUF2065)
PF09839	Uncharacterized protein conserved in bacteria (DUF2066)
PF09840	Uncharacterized protein conserved in archaea (DUF2067)
PF09842	Predicted membrane protein (DUF2069)
PF09843	Predicted membrane protein (DUF2070)
PF09844	Uncharacterized conserved protein (COG2071)
PF09845	Zn-ribbon containing protein
PF09846	Uncharacterized protein conserved in archaea (DUF2073)
PF09848	Uncharacterized conserved protein (DUF2075)
PF09849	Uncharacterized protein conserved in bacteria (DUF2076)
PF09852	Predicted membrane protein (DUF2079)
PF09853	Putative transposon-encoded protein (DUF2080)
PF09858	Predicted membrane protein (DUF2085)
PF09860	Uncharacterized protein conserved in bacteria (DUF2087)
PF09862	Protein of unknown function (DUF2089)
PF09863	Uncharacterized protein conserved in bacteria (DUF2090)
PF09865	Predicted periplasmic protein (DUF2092)
PF09866	Uncharacterized protein conserved in bacteria (DUF2093)
PF09868	Uncharacterized protein conserved in archaea (DUF2095)
PF09869	Uncharacterized protein conserved in archaea (DUF2096)
PF09870	Uncharacterized protein conserved in archaea (DUF2097)
PF09871	Uncharacterized protein conserved in archaea (DUF2098)
PF09872	Uncharacterized protein conserved in archaea (DUF2099)
PF01595	Cyclin M transmembrane N-terminal domain
PF09873	Uncharacterized protein conserved in archaea (DUF2100)
PF09874	Predicted membrane protein (DUF2101)
PF09875	Uncharacterized protein conserved in archaea (DUF2102)
PF09876	Predicted metal-binding protein (DUF2103)
PF09877	Predicted membrane protein (DUF2104)
PF09878	Predicted membrane protein (DUF2105)
PF09879	Predicted membrane protein (DUF2106)
PF09880	Predicted membrane protein (DUF2107)
PF09881	Predicted membrane protein (DUF2108)
PF09882	Predicted membrane protein (DUF2109)
PF02680	Uncharacterized ArCR, COG1888
PF09883	Uncharacterized protein conserved in archaea (DUF2110)
PF09884	Uncharacterized protein conserved in archaea (DUF2111)
PF09885	Uncharacterized protein conserved in archaea (DUF2112)
PF09886	Uncharacterized protein conserved in archaea (DUF2113)
PF09887	Uncharacterized protein conserved in archaea (DUF2114)
PF09888	Uncharacterized protein conserved in archaea (DUF2115)
PF09889	Uncharacterized protein containing a Zn-ribbon (DUF2116)
PF09890	Uncharacterized protein conserved in archaea (DUF2117)
PF09891	Uncharacterized protein conserved in archaea (DUF2118)
PF09892	Uncharacterized protein conserved in archaea (DUF2119)
PF02681	Divergent PAP2 family
PF09893	Uncharacterized protein conserved in archaea (DUF2120)
PF09894	Uncharacterized protein conserved in archaea (DUF2121)
PF09895	RecB-family nuclease (DUF2122)
PF09897	Uncharacterized protein conserved in archaea (DUF2124)
PF09898	Uncharacterized protein conserved in bacteria (DUF2125)
PF09899	Putative amidoligase enzyme (DUF2126)
PF09900	Predicted membrane protein (DUF2127)
PF09902	Uncharacterized protein conserved in bacteria (DUF2129)
PF09903	Uncharacterized protein conserved in bacteria (DUF2130)
PF09906	Uncharacterized protein conserved in bacteria (DUF2135)
PF09909	Uncharacterized protein conserved in bacteria (DUF2138)
PF09910	Uncharacterized protein conserved in archaea (DUF2139)
PF09911	Uncharacterized protein conserved in bacteria (DUF2140)
PF09912	Uncharacterized protein conserved in bacteria (DUF2141)
PF09913	Predicted membrane protein (DUF2142)
PF09916	Uncharacterized protein conserved in bacteria (DUF2145)
PF09917	Uncharacterized protein conserved in bacteria (DUF2147)
PF09918	Uncharacterized protein containing a ferredoxin domain (DUF2148)
PF09919	Uncharacterized conserved protein (DUF2149)
PF09920	Uncharacterized protein conserved in archaea (DUF2150)
PF10221	Cell cycle and development regulator
PF10222	Uncharacterized conserved protein (DUF2152)
PF09921	Uncharacterized protein conserved in archaea (DUF2153)
PF09922	Cell wall-active antibiotics response 4TMS YvqF
PF09923	Uncharacterized protein conserved in bacteria (DUF2155)
PF09925	Predicted membrane protein (DUF2157)
PF09926	Uncharacterized small protein (DUF2158)
PF09928	Predicted small integral membrane protein (DUF2160)
PF09929	Putative PD-(D/E)XK phosphodiesterase (DUF2161)
PF09930	Predicted transporter (DUF2162)
PF09931	Uncharacterized conserved protein (DUF2163)
PF09932	Uncharacterized conserved protein (DUF2164)
PF09933	Predicted small integral membrane protein (DUF2165)
PF09935	Protein of unknown function (DUF2167)
PF09937	Uncharacterized protein conserved in bacteria (DUF2169)
PF09938	Uncharacterized protein conserved in bacteria (DUF2170)
PF09939	Uncharacterized protein conserved in bacteria (DUF2171)
PF09940	Domain of unknown function (DUF2172)
PF09941	Uncharacterized conserved protein (DUF2173)
PF09943	Uncharacterized protein conserved in archaea (DUF2175)
PF09945	Predicted membrane protein (DUF2177)
PF09946	Predicted membrane protein (DUF2178)
PF10035	Uncharacterized protein conserved in bacteria (DUF2179)
PF02698	DUF218 domain
PF09947	Uncharacterized protein conserved in archaea (DUF2180)
PF10223	Uncharacterized conserved protein (DUF2181)
PF09948	Predicted metal-binding integral membrane protein (DUF2182)
PF09949	Uncharacterized conserved protein (DUF2183)
PF09950	Uncharacterized protein conserved in bacteria (DUF2184)
PF09951	Protein of unknown function (DUF2185)
PF09953	Uncharacterized protein conserved in bacteria (DUF2187)
PF09954	Uncharacterized protein conserved in bacteria (DUF2188)
PF09955	Predicted integral membrane protein (DUF2189)
PF09956	Uncharacterized conserved protein (DUF2190)
PF09958	Uncharacterized protein conserved in archaea (DUF2192)
PF09959	Uncharacterized protein conserved in archaea (DUF2193)
PF09960	Uncharacterised protein conserved in bacteria (DUF2194)
PF09961	Uncharacterized protein conserved in bacteria (DUF2195)
PF09962	Uncharacterized conserved protein (DUF2196)
PF09963	Uncharacterized protein conserved in bacteria (DUF2197)
PF09964	Uncharacterized protein conserved in bacteria (DUF2198)
PF09965	Uncharacterized protein conserved in bacteria (DUF2199)
PF01629	Domain of unknown function DUF22
PF02713	Domain of unknown function DUF220
PF09966	Uncharacterized protein conserved in bacteria (DUF2200)
PF09967	VWA-like domain (DUF2201)
PF13203	Putative metallopeptidase domain
PF09968	Uncharacterized protein domain (DUF2202)
PF09969	Uncharacterized conserved protein (DUF2203)
PF09970	Nucleotidyl transferase of unknown function (DUF2204)
PF10224	Short coiled-coil protein
PF09971	Predicted membrane protein (DUF2206)
PF09972	Predicted membrane protein (DUF2207)
PF09973	Predicted membrane protein (DUF2208)
PF09974	Uncharacterized protein conserved in archaea (DUF2209)
PF09979	Uncharacterized protein conserved in bacteria (DUF2213)
PF09980	Predicted membrane protein (DUF2214)
PF09981	Uncharacterized protein conserved in bacteria (DUF2218)
PF09982	Uncharacterized protein conserved in bacteria (DUF2219)
PF02720	Domain of unknown function (DUF222)
PF09983	Uncharacterized protein conserved in bacteria C-term(DUF2220)
PF09986	Uncharacterized protein conserved in bacteria (DUF2225)
PF09987	Uncharacterized protein conserved in archaea (DUF2226)
PF09988	Uncharacterized metal-binding protein (DUF2227)
PF10228	Uncharacterised conserved protein (DUF2228)
PF09989	CoA enzyme activase uncharacterised domain (DUF2229)
PF02721	Domain of unknown function DUF223
PF09990	Predicted membrane protein (DUF2231)
PF09991	Predicted membrane protein (DUF2232)
PF09994	Uncharacterized alpha/beta hydrolase domain (DUF2235)
PF09996	Uncharacterized protein conserved in bacteria (DUF2237)
PF09997	Predicted membrane protein (DUF2238)
PF09998	Uncharacterized protein conserved in bacteria (DUF2239)
PF09999	Uncharacterized protein conserved in archaea (DUF2240)
PF10001	Uncharacterized protein conserved in bacteria (DUF2242)
PF10002	Predicted membrane protein (DUF2243)
PF10003	Integral membrane protein (DUF2244)
PF10004	Uncharacterized protein conserved in bacteria (DUF2247)
PF10006	Uncharacterized conserved protein (DUF2249)
PF10007	Uncharacterized protein conserved in archaea (DUF2250)
PF10008	Uncharacterized protein conserved in bacteria (DUF2251)
PF10009	Uncharacterized protein conserved in bacteria (DUF2252)
PF10011	Predicted membrane protein (DUF2254)
PF10012	Uncharacterized protein conserved in bacteria (DUF2255)
PF10013	Uncharacterized protein conserved in bacteria (DUF2256)
PF10015	Uncharacterized protein conserved in archaea (DUF2258)
PF10016	Predicted secreted protein (DUF2259)
PF02890	Borrelia family of unknown function DUF226
PF10020	Uncharacterized protein conserved in bacteria (DUF2262)
PF10021	Uncharacterized protein conserved in bacteria (DUF2263)
PF10022	Uncharacterized protein conserved in bacteria (DUF2264)
PF10025	Uncharacterized conserved protein (DUF2267)
PF10026	Predicted Zn-dependent protease (DUF2268)
PF10027	Predicted integral membrane protein (DUF2269)
PF10028	Predicted integral membrane protein (DUF2270)
PF10029	Predicted periplasmic protein (DUF2271)
PF10030	Uncharacterized protein conserved in bacteria (DUF2272)
PF10031	Small integral membrane protein (DUF2273)
PF10038	Protein of unknown function (DUF2274)
PF10039	Predicted integral membrane protein (DUF2275)
PF10041	Uncharacterized conserved protein (DUF2277)
PF10042	Uncharacterized conserved protein (DUF2278)
PF10043	Predicted periplasmic lipoprotein (DUF2279)
PF02989	Lyme disease proteins of unknown function
PF10045	Uncharacterized conserved protein (DUF2280)
PF10047	Protein of unknown function (DUF2281)
PF10048	Predicted integral membrane protein (DUF2282)
PF10049	Protein of unknown function (DUF2283)
PF10050	Predicted metal-binding protein (DUF2284)
PF10074	Uncharacterized conserved protein (DUF2285)
PF10051	Uncharacterized protein conserved in archaea (DUF2286)
PF10052	Protein of unknown function (DUF2288)
PF02995	Protein of unknown function (DUF229)
PF10053	Uncharacterized conserved protein (DUF2290)
PF10054	Predicted periplasmic lipoprotein (DUF2291)
PF10055	Uncharacterized small protein (DUF2292)
PF10056	Uncharacterized conserved protein (DUF2293)
PF10060	Uncharacterized membrane protein (DUF2298)
PF10061	Uncharacterized conserved protein (DUF2299)
PF10062	Predicted secreted protein (DUF2300)
PF10063	Uncharacterized integral membrane protein (DUF2301)
PF10065	Uncharacterized conserved protein (DUF2303)
PF10066	Uncharacterized conserved protein (DUF2304)
PF10067	Predicted membrane protein (DUF2306)
PF10071	Zn-ribbon-containing, possibly nucleic-acid-binding protein (DUF2310)
PF10073	Uncharacterized protein conserved in bacteria (DUF2312)
PF10076	Uncharacterised protein conserved in bacteria (DUF2313)
PF10077	Uncharacterized protein conserved in bacteria (DUF2314)
PF10231	Apoptogenic protein 1
PF10078	Uncharacterized protein conserved in bacteria (DUF2316)
PF10083	Uncharacterized protein conserved in bacteria (DUF2321)
PF10084	Uncharacterized protein conserved in bacteria (DUF2322)
PF10087	Uncharacterized protein conserved in bacteria (DUF2325)
PF10088	Uncharacterised protein conserved in bacteria (DUF2326)
PF10092	Uncharacterized protein conserved in bacteria (DUF2330)
PF10094	Uncharacterized protein conserved in bacteria (DUF2332)
PF10095	Uncharacterized protein conserved in bacteria (DUF2333)
PF10096	Uncharacterized protein conserved in bacteria (DUF2334)
PF10097	Predicted membrane protein (DUF2335)
PF10098	Uncharacterised protein conserved in bacteria (DUF2336)
PF10101	Predicted membrane protein (DUF2339)
PF03008	Archaea bacterial proteins of unknown function
PF10209	Uncharacterized conserved protein (DUF2340)
PF10102	Domain of unknown function (DUF2341)
PF10105	Uncharacterized protein conserved in bacteria (DUF2344)
PF10106	Uncharacterized protein conserved in bacteria (DUF2345)
PF09789	Uncharacterized coiled-coil protein (DUF2353)
PF09823	Domain of unknown function (DUF2357)
PF10184	Uncharacterized conserved protein (DUF2358)
PF03057	DUF236 repeat
PF10154	Uncharacterised conserved protein (DUF2362)
PF10164	Uncharacterized conserved protein (DUF2367)
PF10166	Uncharacterised conserved protein (DUF2368)
PF03072	Domain of unknown function (DUF237)
PF10176	Protein of unknown function (DUF2370)
PF10177	Uncharacterised conserved protein (DUF2371)
PF09574	Protein  of unknown function (Duf2374)
PF09558	Protein of unknown function (DUF2375)
PF09536	Protein of unknown function (DUF2378)
PF09543	Protein of unknown function (DUF2379)
PF09533	Predicted lipoprotein of unknown function (DUF2380)
PF09544	Protein of unknown function (DUF2381)
PF09557	Domain of unknown function (DUF2382)
PF09537	Domain of unknown function (DUF2383)
PF09722	Protein of unknown function (DUF2384)
PF09539	Protein of unknown function (DUF2385)
PF09526	Probable metal-binding protein (DUF2387)
PF09498	Protein of unknown function (DUF2388)
PF09493	Tryptophan-rich protein (DUF2389)
PF09523	Protein of unknown function (DUF2390)
PF09622	Putative integral membrane protein (DUF2391)
PF09624	Protein of unknown function (DUF2393)
PF09654	Protein of unknown function (DUF2396)
PF09660	Protein of unknown function (DUF2397)
PF09661	Protein of unknown function (DUF2398)
PF09664	Protein of unknown function C-terminus (DUF2399)
PF03086	Domain of unknown function (DUF240)
PF09674	Protein of unknown function (DUF2400)
PF10287	Putative TOS1-like glycosyl hydrolase (DUF2401)
PF10290	Glycine-rich protein domain (DUF2403)
PF10293	Domain of unknown function (DUF2405)
PF10295	Uncharacterised protein (DUF2406)
PF10302	DUF2407 ubiquitin-like domain
PF13373	DUF2407 C-terminal domain
PF10303	Protein of unknown function (DUF2408)
PF03087	Arabidopsis protein of unknown function
PF10313	Uncharacterised protein domain (DUF2415)
PF10329	Region of unknown function (DUF2417)
PF10332	Protein of unknown function (DUF2418)
PF10336	Protein of unknown function (DUF2420)
PF10338	Protein of unknown function (DUF2423)
PF10348	Domain of unknown function (DUF2427)
